"","Observed","Shannon","Simpson","InvSimpson","Sample","ShortID","Index","Dilution","SampleGroup_letter","OriginalSample","LIbraryType","Kit","InputDNA","SampleGroup","Raw_reads","AMR_hits","Type"
"A_P4",347,4.6423221843526,0.97096600149173,34.4423796713764,"A_P4","A_P4","H02","1:3 dilution","P","PFe37","XT","XT","200ng","Porcine fecal",24418846,1091861,"TE"
"A_P5",366,4.68693778679002,0.972933829320107,36.9464898388041,"A_P5","A_P5","B06","1:5 dilution","P","PFe13","XT","XT","400ng","Porcine fecal",29907699,1116746,"TE"
"A_P6",370,4.74256977931958,0.976357958601725,42.2975318904976,"A_P6","A_P6","C06","1:5 dilution","P","PFe16","XT","XT","400ng","Porcine fecal",31423286,1246572,"TE"
"A_P7",363,4.6348980653376,0.970099400015123,33.4441449504613,"A_P7","A_P7","D06","1:5 dilution","P","PFe22","XT","XT","400ng","Porcine fecal",27466170,1105943,"TE"
"A_P8",369,4.69188391486348,0.973053464778994,37.1105224400232,"A_P8","A_P8","H06","1:5 dilution","P","PFe37","XT","XT","400ng","Porcine fecal",37097903,1236983,"TE"
"A_P9",367,4.74657945662496,0.975887915243844,41.472979632949,"A_P9","A_P9","C09","1:3 dilution","P","PFe13","XT","XT","800ng","Porcine fecal",28579193,1230056,"TE"
"PT019D1T0",162,2.18534070944713,0.800545315742331,5.01367016634282,"PT019D1T0","PT019D1T0","","Standard","D","PT019D1T0","XT_HS","XT HS","200ng","Canine fecal",24382527,328862,"TE"
"PT019D1T0B",168,2.18339027011118,0.799104930149673,4.97772295131498,"PT019D1T0B","PT019D1T0B","","Standard","D","PT019D1T0","XT_HS","XT HS","50ng","Canine fecal",18379864,325933,"TE"
"PT024D1T0",245,3.0938128515167,0.876591580543073,8.10317484334229,"PT024D1T0","PT024D1T0","","Standard","D","PT024D1T0","XT_HS","XT HS","200ng","Canine fecal",21666303,358685,"TE"
"PT024D1T0B",246,3.22094786316652,0.886461917269514,8.80761746148008,"PT024D1T0B","PT024D1T0B","","Standard","D","PT024D1T0","XT_HS","XT HS","50ng","Canine fecal",33957093,413456,"TE"
"PT046D1T0",241,2.71822769196047,0.852005261046827,6.75699695187413,"PT046D1T0","PT046D1T0","","Standard","D","PT046D1T0","XT_HS","XT HS","200ng","Canine fecal",84553202,345982,"TE"
"PT046D1T0B",228,2.63670844064265,0.845446411723186,6.47024770598625,"PT046D1T0B","PT046D1T0B","","Standard","D","PT046D1T0","XT_HS","XT HS","50ng","Canine fecal",44919975,310410,"TE"
"PT050D1T0",187,2.62114683065102,0.851689811754684,6.74262511450613,"PT050D1T0","PT050D1T0","","Standard","D","PT050D1T0","XT_HS","XT HS","200ng","Canine fecal",36606920,233147,"TE"
"PT050D1T0B",182,2.56118600329051,0.846412902581125,6.5109635952864,"PT050D1T0B","PT050D1T0B","","Standard","D","PT050D1T0","XT_HS","XT HS","50ng","Canine fecal",32188586,220376,"TE"
"UK008D1T0",216,4.61984981671959,0.977372601201112,44.1942093692694,"UK008D1T0","UK008D1T0","","Standard","D","UK008D1T0","XT_HS","XT HS","200ng","Canine fecal",25304040,512029,"TE"
"UK008D1T0B",232,4.52488052151755,0.973637408906035,37.9325384381099,"UK008D1T0B","UK008D1T0B","","Standard","D","UK008D1T0","XT_HS","XT HS","50ng","Canine fecal",30567118,620260,"TE"
"UK014D1T0",216,3.96774467987531,0.925063229898038,13.3445836888802,"UK014D1T0","UK014D1T0","","Standard","D","UK014D1T0","XT_HS","XT HS","200ng","Canine fecal",34310877,350177,"TE"
"UK014D1T0B",212,3.97905323656306,0.92628439982291,13.5656495721076,"UK014D1T0B","UK014D1T0B","","Standard","D","UK014D1T0","XT_HS","XT HS","50ng","Canine fecal",33612333,368521,"TE"
"UK036D1T0",187,2.32930329956084,0.758663880894265,4.14359857822143,"UK036D1T0","UK036D1T0","","Standard","D","UK036D1T0","XT_HS","XT HS","200ng","Canine fecal",22254608,140145,"TE"
"UK036D1T0B",178,2.1921541619143,0.733064007585829,3.74621642797583,"UK036D1T0B","UK036D1T0B","","Standard","D","UK036D1T0","XT_HS","XT HS","50ng","Canine fecal",15250467,127467,"TE"
"UK047D1T0",228,3.33705820043476,0.86955884739442,7.66629227068958,"UK047D1T0","UK047D1T0","","Standard","D","UK047D1T0","XT_HS","XT HS","200ng","Canine fecal",27834028,273512,"TE"
"UK047D1T0B",225,3.19903016947081,0.856824174595787,6.98441931224637,"UK047D1T0B","UK047D1T0B","","Standard","D","UK047D1T0","XT_HS","XT HS","50ng","Canine fecal",22841496,251019,"TE"
