gene_accession,SRR4425689,SRR4425688,SRR4425691,SRR4425695,SRR4425683,SRR4425690,SRR4425694,SRR4425656,SRR4425684,SRR4425696,SRR4425681,SRR4425685,SRR4425692,SRR4425687,SRR4425686,SRR4425682
MEG_7219|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,205.0,177.0,0,428.0,581.0,573.0,0,0,53.0,1067.0,885.0,143.0,0,546.0,309.0,1063.0
MEG_1240|Drugs|betalactams|Class_A_betalactamases|BLAA,0,0,0,0,0,0,26.0,26.0,0,0,0,0,21.0,0,0,0
MEG_6113|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,0,0,0,0,414.0,0,0,0,0,0,0,0,0,0,0,0
MEG_1180|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_regulator|ASMA,0,28.0,0,239.0,442.0,46.0,0,0,505.0,262.0,254.0,250.0,0,0,1279.0,311.0
MEG_3749|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|MDTC,0,0,0,384.0,742.0,0,0,0,890.0,368.0,336.0,332.0,0,0,2121.0,561.0
MEG_4289|Drugs|betalactams|Mutant_porin_proteins|OMPFB|RequiresSNPConfirmation,0,0,0,95.0,338.0,17.0,0,0,401.0,150.0,156.0,138.0,0,0,1050.0,259.0
MEG_6964|Drugs|Tetracyclines|Tetracycline-resistant_16S_ribosomal_subunit_protein|TET16S|RequiresSNPConfirmation,0,1381.0,653.0,0,6607.0,3869.0,1510.0,1649.0,8852.0,5352.0,5217.0,9049.0,1480.0,4587.0,10881.0,0
MEG_2019|Metals|Copper_resistance|Copper_resistance_protein|COPA,0,0,0,135.0,215.0,0,0,0,217.0,92.0,108.0,95.0,0,0,669.0,155.0
MEG_3763|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTN,0,25.0,0,190.0,270.0,27.0,0,0,486.0,211.0,169.0,159.0,0,0,872.0,280.0
MEG_3227|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,0,0,0,73.0,119.0,0,0,0,264.0,0,63.0,65.0,0,0,253.0,0
MEG_2819|Drugs|MLS|23S_rRNA_methyltransferases|ERMC,0,0,0,0,124.0,0,0,0,162.0,0,0,248.0,0,0,196.0,0
MEG_6655|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|TEHA,0,0,0,114.0,149.0,20.0,0,0,216.0,93.0,116.0,110.0,0,0,559.0,170.0
MEG_7630|Drugs|MLS|Streptogramin_A_O-acetyltransferase|VATE,0,0,0,0,15.0,0,0,0,139.0,0,0,255.0,0,0,55.0,0
MEG_2783|Drugs|MLS|23S_rRNA_methyltransferases|ERMA,0,0,0,0,0,0,0,0,47.0,0,0,90.0,0,0,0,0
MEG_7862|Metals|Zinc_resistance|Zinc_resistance_regulator|ZRAR,12.0,0,0,265.0,417.0,27.0,0,0,488.0,234.0,174.0,179.0,0,0,1244.0,318.0
MEG_4008|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|MODC,0,0,0,22.0,0,0,0,0,0,0,0,31.0,0,0,0,0
