gene_accession,SRR4425689,SRR4425695,SRR4425691,SRR4425688,SRR4425683,SRR4425684,SRR4425690,SRR4425694,SRR4425656,SRR4425696,SRR4425681,SRR4425685,SRR4425692,SRR4425687,SRR4425686,SRR4425682
MEG_5333|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEG_64|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,0.0,0.0,0.0,0.0,30.0,14.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,21.0,0.0
MEG_6653|Metals|Copper_resistance|Copper_resistance_protein|TCRY,0.0,62.0,0.0,0.0,1346.0,3006.0,0.0,0.0,0.0,105.0,121.0,2302.0,0.0,0.0,2007.0,342.0
MEG_6552|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_resistance_regulator|SOXS|RequiresSNPConfirmation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEG_7024|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,150.0
MEG_5321|Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|OXYRKP,0.0,97.0,0.0,0.0,234.0,278.0,0.0,0.0,0.0,94.0,98.0,105.0,0.0,0.0,574.0,145.0
MEG_3610|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUC,333.0,2034.0,0.0,258.0,2165.0,978.0,952.0,25.0,54.0,6507.0,6233.0,530.0,37.0,1154.0,3568.0,9194.0
MEG_1193|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_regulator|BAES,0.0,99.0,0.0,0.0,194.0,212.0,0.0,0.0,0.0,81.0,91.0,104.0,0.0,0.0,623.0,163.0
MEG_8650|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|QACH,0.0,0.0,333.0,0.0,0.0,0.0,0.0,681.0,694.0,0.0,0.0,0.0,873.0,0.0,0.0,0.0
MEG_2083|Metals|Copper_resistance|Copper_resistance_regulator|COPZ,6.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEG_3868|Metals|Mercury_resistance|Mercury_resistance_protein|MERE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
MEG_979|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT4-PRIME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
MEG_6592|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0
MEG_3885|Metals|Mercury_resistance|Mercury_resistance_regulator|MERR1,0.0,0.0,0.0,0.0,81.0,146.0,0.0,0.0,0.0,0.0,0.0,205.0,0.0,0.0,100.0,0.0
MEG_4045|Drugs|MLS|Macrolide_phosphotransferases|MPHG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEG_8253|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1609.0,1644.0,0.0,0.0,0.0,2044.0,0.0,0.0,0.0
MEG_32|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,14.0,0.0
MEG_4103|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|MVRC,0.0,0.0,0.0,0.0,62.0,100.0,12.0,0.0,0.0,0.0,15.0,58.0,0.0,0.0,216.0,49.0
MEG_405|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|ACRD,0.0,0.0,0.0,0.0,182.0,216.0,0.0,0.0,0.0,98.0,0.0,82.0,0.0,0.0,506.0,110.0
MEG_1692|Drugs|betalactams|Class_A_betalactamases|CFX,46.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,55.0,23.0,0.0,0.0,108.0,0.0,76.0
MEG_2578|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0
MEG_4164|Metals|Sodium_resistance|Sodium_resistance_protein|NHAB,0.0,90.0,0.0,0.0,154.0,186.0,0.0,0.0,0.0,99.0,97.0,76.0,0.0,0.0,477.0,143.0
MEG_7223|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,102.0,339.0,0.0,109.0,484.0,139.0,368.0,0.0,0.0,851.0,554.0,437.0,0.0,384.0,534.0,797.0
MEG_5394|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PAREF|RequiresSNPConfirmation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MEG_7851|Metals|Zinc_resistance|Zinc_resistance_protein|ZITB,0.0,113.0,0.0,0.0,273.0,332.0,23.0,0.0,0.0,121.0,117.0,120.0,0.0,0.0,744.0,169.0
MEG_2680|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,0.0,0.0,0.0,0.0,17.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0
MEG_3755|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDTH,0.0,135.0,0.0,0.0,257.0,345.0,24.0,0.0,0.0,132.0,141.0,113.0,0.0,0.0,711.0,220.0
MEG_7110|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,88.0,0.0,67.0,0.0,0.0
MEG_6589|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0
MEG_2678|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,16.0
MEG_3591|Drugs|Lipopeptides|Daptomycin-resistant_mutant|LIAFSR|RequiresSNPConfirmation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEG_8254|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,0.0,0.0,634.0,0.0,0.0,0.0,0.0,1675.0,1607.0,0.0,0.0,0.0,2056.0,0.0,0.0,0.0
MEG_3513|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|KPN,0.0,64.0,0.0,0.0,120.0,148.0,0.0,0.0,0.0,85.0,68.0,77.0,0.0,0.0,339.0,90.0
MEG_7859|Metals|Zinc_resistance|Zinc_resistance_protein|ZNUC,0.0,55.0,0.0,0.0,141.0,210.0,0.0,0.0,0.0,102.0,89.0,105.0,0.0,0.0,493.0,124.0
MEG_3290|Biocides|Acetate_resistance|Acetate_resistance_protein|ICLR,0.0,48.0,0.0,0.0,139.0,149.0,0.0,0.0,0.0,70.0,65.0,52.0,0.0,0.0,345.0,91.0
MEG_1107|Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|ARIR,0.0,28.0,0.0,3.0,67.0,109.0,12.0,0.0,0.0,40.0,43.0,40.0,0.0,0.0,252.0,72.0
MEG_8646|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|QACD,0.0,0.0,0.0,0.0,4736.0,6840.0,0.0,0.0,0.0,0.0,0.0,9321.0,0.0,0.0,7021.0,0.0
MEG_6118|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
MEG_2832|Drugs|MLS|23S_rRNA_methyltransferases|ERMF,21.0,0.0,0.0,0.0,282.0,0.0,56.0,0.0,0.0,80.0,69.0,81.0,0.0,93.0,157.0,134.0
MEG_2790|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,0.0,0.0,0.0,0.0,80.0,398.0,0.0,0.0,0.0,87.0,0.0,731.0,0.0,0.0,216.0,0.0
MEG_7173|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,71.0,361.0,0.0,67.0,183.0,106.0,178.0,0.0,0.0,820.0,810.0,327.0,0.0,179.0,327.0,907.0
MEG_3621|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUP,71.0,243.0,0.0,125.0,167.0,28.0,368.0,0.0,0.0,665.0,1508.0,33.0,0.0,458.0,766.0,2207.0
MEG_7849|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ZINT,0.0,46.0,0.0,0.0,173.0,277.0,13.0,0.0,0.0,103.0,99.0,70.0,0.0,0.0,459.0,115.0
MEG_8288|Drugs|betalactams|Mutant_porin_proteins|OMPA,0.0,117.0,0.0,0.0,250.0,274.0,0.0,0.0,0.0,104.0,102.0,102.0,0.0,0.0,631.0,183.0
MEG_3448|Drugs|Aminoglycosides|Aminoglycoside_efflux_pumps|KDPE,8.0,113.0,0.0,0.0,206.0,281.0,0.0,0.0,0.0,121.0,93.0,113.0,0.0,0.0,557.0,170.0
MEG_887|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
