gene_accession,SRR4425689,SRR4425688,SRR4425691,SRR4425695,SRR4425683,SRR4425690,SRR4425694,SRR4425684,SRR4425656,SRR4425696,SRR4425681,SRR4425685,SRR4425692,SRR4425687,SRR4425686,SRR4425682
MEG_2836|Drugs|MLS|23S_rRNA_methyltransferases|ERMG,0,0,0,34.0,111.0,29.0,66.0,0,0,146.0,191.0,82.0,0,0,0,185.0
MEG_2873|Biocides|Phenolic_compound_resistance|Triclosan-resistant_mutation|FABG|RequiresSNPConfirmation,0,0,0,88.0,144.0,16.0,0,182.0,0,96.0,59.0,67.0,0,8.0,339.0,97.0
MEG_7313|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,160.0,0,0,184.0,593.0,301.0,0,588.0,0,294.0,336.0,700.0,0,363.0,761.0,355.0
MEG_6635|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,0,0,0,0,0,0,0,26.0,0,0,0,25.0,0,0,10.0,0
MEG_3538|Drugs|betalactams|Class_D_betalactamases|LCR,0,0,0,0,0,0,10.0,0,0,0,0,0,13.0,0,0,0
MEG_3609|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUB,0,0,31.0,200.0,187.0,0,70.0,188.0,105.0,298.0,467.0,171.0,47.0,0,599.0,578.0
MEG_997|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6,88.0,80.0,0,569.0,320.0,293.0,0,35.0,13.0,1197.0,1374.0,49.0,8.0,308.0,64.0,1266.0
MEG_7095|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETL,27.0,0,0,1091.0,295.0,0,0,389.0,0,1604.0,1687.0,471.0,0,0,828.0,1757.0
MEG_7818|Biocides|Peroxide_resistance|peroxide_resistance_protein|YDEI,0,8.0,0,10.0,49.0,0,0,89.0,0,49.0,33.0,26.0,0,6.0,170.0,77.0
MEG_5346|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,0,0,0,0,73.0,0,0,0,0,0,0,0,0,0,0,0
MEG_3860|Metals|Mercury_resistance|Mercury_resistance_regulator|MERD,0,0,17.0,0,0,0,21.0,0,23.0,0,0,0,35.0,0,0,0
MEG_5851|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|QACL,0,0,0,0,0,0,0,0,3.0,0,0,0,10.0,0,0,0
MEG_1783|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|CMX,0,0,0,0,0,26.0,0,0,0,0,0,0,0,38.0,0,0
MEG_4162|Metals|Sodium_resistance|Sodium_resistance_protein|NHAA,0,25.0,0,155.0,251.0,18.0,0,347.0,0,185.0,164.0,175.0,0,0,705.0,271.0
MEG_2729|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRD,0,13.0,0,91.0,155.0,0,0,221.0,0,111.0,138.0,114.0,0,0,512.0,178.0
MEG_5829|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|QACEDELTA1,0,0,6.0,0,18.0,0,0,28.0,11.0,4.0,0,20.0,22.0,0,0,0
MEG_2848|Drugs|MLS|23S_rRNA_methyltransferases|ERMT,0,0,0,0,416.0,0,0,475.0,0,0,0,522.0,0,9.0,783.0,0
MEG_2835|Drugs|MLS|23S_rRNA_methyltransferases|ERMG,33.0,44.0,26.0,37.0,67.0,82.0,77.0,29.0,58.0,148.0,158.0,176.0,70.0,128.0,49.0,231.0
MEG_7109|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,0,0,0,0,59.0,0,0,93.0,0,0,0,81.0,0,0,99.0,0
MEG_801|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,0,0,0,0,0,6.0,0,0,0,0,0,0,0,0
MEG_6545|Biocides|Peroxide_resistance|peroxide_resistance_protein|SODB,0,11.0,0,41.0,103.0,11.0,0,117.0,0,78.0,58.0,48.0,0,0,298.0,83.0
MEG_7228|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,162.0,122.0,0,643.0,167.0,413.0,0,0,0,1592.0,1286.0,123.0,0,494.0,0,1415.0
MEG_4|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,0,0,455.0,440.0,0,613.0,750.0,0,716.0,655.0,639.0,0,823.0,683.0,0,687.0
MEG_7305|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,0,0,283.0,0,396.0,0,358.0,513.0,340.0,0,0,547.0,376.0,0,392.0,0
MEG_2772|Drugs|MLS|23S_rRNA_methyltransferases|ERM,0,0,0,0,0,21.0,0,0,0,17.0,52.0,0,0,17.0,0,0
MEG_7015|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.0
MEG_2792|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,0,0,0,68.0,107.0,0,0,356.0,0,0,126.0,510.0,0,0,246.0,128.0
MEG_2019|Metals|Copper_resistance|Copper_resistance_protein|COPA,0,0,0,124.0,201.0,0,0,198.0,0,85.0,104.0,89.0,0,0,561.0,142.0
MEG_3947|Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|MGTA,0,0,0,142.0,256.0,0,0,476.0,0,257.0,187.0,158.0,0,0,789.0,253.0
MEG_7215|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,103.0,111.0,0,387.0,354.0,320.0,0,204.0,0,740.0,580.0,539.0,0,367.0,592.0,748.0
MEG_4056|Drugs|Cationic_antimicrobial_peptides|Defensin-resistant_mprF|MPRF,0,0,0,44.0,0,0,0,0,0,60.0,146.0,0,0,0,0,268.0
MEG_1182|Biocides|Acid_resistance|Acid_resistance_protein|ASR,0,0,0,0,10.0,0,0,20.0,0,9.0,7.0,7.0,0,0,58.0,26.0
MEG_7039|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETB,0,0,0,29.0,0,0,0,0,0,0,22.0,0,0,0,139.0,31.0
MEG_3883|Metals|Mercury_resistance|Mercury_resistance_regulator|MERR,0,0,22.0,0,0,0,46.0,0,41.0,0,0,0,49.0,0,0,0
MEG_1282|Drugs|betalactams|Class_C_betalactamases|BLAEC,0,0,0,0,0,0,0,0,0,0,20.0,21.0,0,0,50.0,0
MEG_6550|Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|SOXRB,0,0,0,25.0,41.0,0,0,46.0,0,34.0,21.0,23.0,0,0,125.0,34.0
MEG_6606|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,0,0,0,0,16.0,0,0,22.0,0,0,0,22.0,0,0,0,0
MEG_5813|Metals|Arsenic_resistance|Arsenic_resistance_protein|PSTA,15.0,16.0,0,152.0,263.0,14.0,0,342.0,0,161.0,154.0,144.0,0,0,633.0,224.0
MEG_6126|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,0,0,0,637.0,0,0,0,0,0,956.0,900.0,0,0,0,0,1392.0
